,permno,mthcaldt,ticker,shrout,mthprc
35019,62834,2001-10-31,EC,131224.0,26.18
35020,62834,2001-11-30,EC,129796.0,27.95
35021,62834,2001-12-31,EC,129796.0,27.68
35022,62834,2002-01-31,EC,129796.0,27.86
35023,62834,2002-02-28,EC,129796.0,28.77
35024,62834,2002-03-28,EC,129915.0,31.03
35025,62834,2002-04-30,EC,129915.0,30.42
35026,62834,2002-05-31,EC,129577.0,31.12
35027,62834,2002-06-28,EC,129577.0,28.32
35028,62834,2002-07-31,EC,129577.0,25.0
35029,62834,2002-08-30,EC,128627.0,26.16
35030,62834,2002-09-30,EC,128627.0,23.83
35031,62834,2002-10-31,EC,128627.0,22.15
35032,62834,2002-11-29,EC,127786.0,24.24
35033,62834,2002-12-31,EC,127786.0,22.35
35034,62834,2003-01-31,EC,127786.0,20.71
35035,62834,2003-02-28,EC,127786.0,20.75
35036,62834,2003-03-31,EC,127345.0,21.42
35037,62834,2003-04-30,EC,127345.0,24.55
35038,62834,2003-05-30,EC,125932.0,25.15
35039,62834,2003-06-30,EC,125932.0,24.77
35040,62834,2003-07-31,EC,125932.0,26.28
35041,62834,2003-08-29,EC,125932.0,28.07
35042,62834,2003-09-30,EC,125932.0,27.67
35043,62834,2003-10-31,EC,125581.0,28.58
35044,62834,2003-11-28,EC,125457.0,29.82
35045,62834,2003-12-31,EC,125457.0,29.95
35046,62834,2004-01-30,EC,125457.0,28.37
35047,62834,2004-02-27,EC,125457.0,29.02
35048,62834,2004-03-31,EC,124547.0,29.89
35049,62834,2004-04-30,EC,124272.0,29.04
35050,62834,2004-05-28,EC,124268.0,30.27
35051,62834,2004-06-30,EC,124268.0,32.31
35052,62834,2004-07-30,EC,124268.0,29.4
35053,62834,2004-08-31,EC,124379.0,28.27
35054,62834,2004-09-30,EC,124379.0,28.35
35055,62834,2004-10-29,EC,122470.0,28.3
35056,62834,2004-11-30,EC,122302.0,29.89
35057,62834,2004-12-31,EC,122302.0,30.67
35058,62834,2005-01-31,EC,122302.0,30.05
35059,62834,2005-02-28,EC,122302.0,30.25
35060,62834,2005-03-31,EC,122184.0,30.03
35061,62834,2005-04-29,EC,121964.0,30.63
35062,62834,2005-05-31,EC,120624.0,29.4
35063,62834,2005-06-30,EC,120624.0,28.55
35064,62834,2005-07-29,EC,120112.0,28.69
35065,62834,2005-08-31,EC,120130.0,28.45
35066,62834,2005-09-30,EC,120130.0,27.91
35067,62834,2005-10-31,EC,119884.0,27.2
35068,62834,2005-11-30,EC,119907.0,29.5
35069,62834,2005-12-30,EC,119907.0,30.15
35070,62834,2006-01-31,EC,119907.0,40.3
35071,62834,2006-02-28,EC,122381.0,39.75
35072,62834,2006-03-31,EC,123759.0,39.61
35073,62834,2006-04-28,EC,123963.0,38.41
35074,62834,2006-05-31,EC,124080.0,38.93
35075,62834,2006-06-30,EC,,38.98
35076,62834,1988-01-29,EC,44983.0,20.375
35077,62834,1988-02-29,EC,44983.0,20.125
35078,62834,1988-03-31,EC,44983.0,19.5
35079,62834,1988-04-29,EC,44983.0,20.125
35080,62834,1988-05-31,EC,44983.0,19.0
35081,62834,1988-06-30,EC,44622.0,19.875
35082,62834,1988-07-29,EC,44622.0,18.375
35083,62834,1988-08-31,EC,44622.0,17.125
35084,62834,1988-09-30,EC,44945.0,19.375
35085,62834,1988-10-31,EC,44945.0,19.25
35086,62834,1988-11-30,EC,44945.0,18.25
35087,62834,1988-12-30,EC,44755.0,17.25
35088,62834,1989-01-31,EC,44755.0,18.25
35089,62834,1989-02-28,EC,44755.0,21.25
35090,62834,1989-03-31,EC,44755.0,21.125
35091,62834,1989-04-28,EC,44755.0,21.125
35092,62834,1989-05-31,EC,44755.0,20.5
35093,62834,1989-06-30,EC,44718.0,20.875
35094,62834,1989-07-31,EC,44718.0,21.125
35095,62834,1989-08-31,EC,44718.0,22.25
35096,62834,1989-09-29,EC,44718.0,23.5
35097,62834,1989-10-31,EC,44718.0,20.875
35098,62834,1989-11-30,EC,44718.0,21.125
35099,62834,1989-12-29,EC,44718.0,19.25
35100,62834,1990-01-31,EC,44718.0,21.0
35101,62834,1990-02-28,EC,44718.0,18.75
35102,62834,1990-03-30,EC,44718.0,18.0
35103,62834,1990-04-30,EC,44718.0,18.0
35104,62834,1990-05-31,EC,44718.0,20.625
35105,62834,1990-06-29,EC,44780.0,22.375
35106,62834,1990-07-31,EC,44780.0,21.875
35107,62834,1990-08-31,EC,44780.0,19.0
35108,62834,1990-09-28,EC,44780.0,20.625
35109,62834,1990-10-31,EC,44780.0,18.375
35110,62834,1990-11-30,EC,44780.0,18.125
35111,62834,1990-12-31,EC,44639.0,18.875
35112,62834,1991-01-31,EC,44639.0,19.375
35113,62834,1991-02-28,EC,44639.0,23.875
35114,62834,1991-03-28,EC,44639.0,25.0
35115,62834,1991-04-30,EC,44639.0,26.625
35116,62834,1991-05-31,EC,44639.0,28.25
35117,62834,1991-06-28,EC,45062.0,29.625
35118,62834,1991-07-31,EC,45062.0,30.75
35119,62834,1991-08-30,EC,45062.0,32.875
35120,62834,1991-09-30,EC,44897.0,33.5
35121,62834,1991-10-31,EC,44897.0,31.5
35122,62834,1991-11-29,EC,44897.0,29.5
35123,62834,1991-12-31,EC,44969.0,32.5
35124,62834,1992-01-31,EC,44969.0,33.0
35125,62834,1992-02-28,EC,44969.0,36.625
35126,62834,1992-03-31,EC,44969.0,36.875
35127,62834,1992-04-30,EC,44969.0,37.375
35128,62834,1992-05-29,EC,44969.0,36.75
35129,62834,1992-06-30,EC,44835.0,40.5
35130,62834,1992-07-31,EC,44835.0,43.125
35131,62834,1992-08-31,EC,44835.0,42.625
35132,62834,1992-09-30,EC,67546.0,30.75
35133,62834,1992-10-30,EC,67546.0,32.375
35134,62834,1992-11-30,EC,67546.0,35.125
35135,62834,1992-12-31,EC,67102.0,34.375
35136,62834,1993-01-29,EC,67102.0,38.25
35137,62834,1993-02-26,EC,67102.0,43.5
35138,62834,1993-03-31,EC,65720.0,42.875
35139,62834,1993-04-30,EC,65720.0,33.75
35140,62834,1993-05-28,EC,65720.0,36.0
35141,62834,1993-06-30,EC,65685.0,37.5
35142,62834,1993-07-30,EC,65685.0,39.25
35143,62834,1993-08-31,EC,65685.0,41.0
35144,62834,1993-09-30,EC,95941.0,26.375
35145,62834,1993-10-29,EC,95941.0,27.5
35146,62834,1993-11-30,EC,95941.0,24.0
35147,62834,1993-12-31,EC,96078.0,24.375
35148,62834,1994-01-31,EC,96078.0,26.25
35149,62834,1994-02-28,EC,96078.0,27.5
35150,62834,1994-03-31,EC,96078.0,27.75
35151,62834,1994-04-29,EC,95946.0,26.0
35152,62834,1994-05-31,EC,95946.0,26.875
35153,62834,1994-06-30,EC,95946.0,25.25
35154,62834,1994-07-29,EC,96608.0,24.5
35155,62834,1994-08-31,EC,96608.0,26.875
35156,62834,1994-09-30,EC,95842.0,26.875
35157,62834,1994-10-31,EC,95842.0,23.5
35158,62834,1994-11-30,EC,95232.0,22.0
35159,62834,1994-12-30,EC,95232.0,22.125
35160,62834,1995-01-31,EC,95232.0,24.875
35161,62834,1995-02-28,EC,95232.0,26.375
35162,62834,1995-03-31,EC,95232.0,29.625
35163,62834,1995-04-28,EC,95098.0,38.375
35164,62834,1995-05-31,EC,95098.0,41.75
35165,62834,1995-06-30,EC,95495.0,42.875
35166,62834,1995-07-31,EC,143243.0,30.375
35167,62834,1995-08-31,EC,143243.0,28.375
35168,62834,1995-09-29,EC,144131.0,25.375
35169,62834,1995-10-31,EC,144131.0,24.875
35170,62834,1995-11-30,EC,144051.0,23.375
35171,62834,1995-12-29,EC,144051.0,21.75
35172,62834,1996-01-31,EC,144051.0,23.125
35173,62834,1996-02-29,EC,144051.0,20.375
35174,62834,1996-03-29,EC,143700.0,23.375
35175,62834,1996-04-30,EC,143716.0,25.125
35176,62834,1996-05-31,EC,143716.0,24.5
35177,62834,1996-06-28,EC,143716.0,23.0
35178,62834,1996-07-31,EC,143718.0,20.5
35179,62834,1996-08-30,EC,143873.0,20.375
35180,62834,1996-09-30,EC,143873.0,23.0
35181,62834,1996-10-31,EC,143873.0,18.25
35182,62834,1996-11-29,EC,143873.0,19.5
35183,62834,1996-12-31,EC,143851.0,19.125
35184,62834,1997-01-31,EC,143851.0,19.875
35185,62834,1997-02-28,EC,143851.0,22.125
35186,62834,1997-03-31,EC,143851.0,21.0
35187,62834,1997-04-30,EC,147295.0,21.0
35188,62834,1997-05-30,EC,147295.0,21.625
35189,62834,1997-06-30,EC,144216.0,20.9375
35190,62834,1997-07-31,EC,144216.0,21.5
35191,62834,1997-08-29,EC,144309.0,20.875
35192,62834,1997-09-30,EC,144309.0,21.5625
35193,62834,1997-10-31,EC,144309.0,17.375
35194,62834,1997-11-28,EC,144309.0,17.8125
35195,62834,1997-12-31,EC,144466.0,17.375
35196,62834,1998-01-30,EC,144466.0,16.5625
35197,62834,1998-02-27,EC,144466.0,18.125
35198,62834,1998-03-31,EC,144466.0,19.0
35199,62834,1998-04-30,EC,144605.0,21.125
35200,62834,1998-05-29,EC,144549.0,20.8125
35201,62834,1998-06-30,EC,144549.0,20.25
35202,62834,1998-07-31,EC,144549.0,20.875
35203,62834,1998-08-31,EC,144508.0,18.375
35204,62834,1998-09-30,EC,144508.0,17.6875
